Requests, 对人类友好的http请求库, https://docs.python-requests.org/en/latest/, https://docs.python-requests.org/zh_CN/latest/
httpx, Requests的asyncio版本, https://www.python-httpx.org/
Beautiful Soup, html/xml解析, https://www.crummy.com/software/BeautifulSoup/bs4/doc/, https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/
numpy, 数组/矩阵计算, https://numpy.org/, https://www.numpy.org.cn/
pandas, 数据分析与处理, https://pandas.pydata.org/, https://www.pypandas.cn/
matplotlib, 数据可视化, https://matplotlib.org/
pytorch, 机器学习框架, https://pytorch.org/
tensorflow, 机器学习框架, http://tensorflow.org/
scikit-learn, 常用的机器学习算法的集合, https://scikit-learn.org/stable/
django, web服务器框架, https://www.djangoproject.com/
flask, 轻量级web服务器框架，相较于django更适合一些小项目, https://flask.palletsprojects.com/en/2.0.x/
Jupyter, 基于python的交互式notebook，常用于数据科学, https://jupyter.org/
PyQt5, Qt框架的Python API, https://www.riverbankcomputing.com/static/Docs/PyQt5/
pyInstaller, 将python脚本打包成可执行程序的工具, https://www.pyinstaller.org/
opencv, 机器视觉, https://docs.opencv.org/master/d6/d00/tutorial_py_root.html
pillow, 图像处理, https://pillow.readthedocs.io/en/stable/